Team,Player,Rank
Frost Reapers,Peyton Knight,Silver
Venom Syndicate,Jamie Wolf,Diamond
Venom Syndicate,Dakota Stone,Diamond
Venom Syndicate,Riley Wolf,Bronze
Venom Syndicate,Casey Frost,Bronze
Venom Syndicate,Skyler Wolf,Platinum
Obsidian Blades,Skyler Vega,Platinum
Obsidian Blades,Peyton Ryder,Gold
Obsidian Blades,Morgan Stone,Diamond
Obsidian Blades,Jordan Shadow,Platinum
Obsidian Blades,Morgan Frost,Gold
Solar Strikers,Jordan Shadow,Diamond
Solar Strikers,Morgan Ryder,Gold
Solar Strikers,Alex Storm,Bronze
Solar Strikers,Casey Wolf,Bronze
Solar Strikers,Peyton Ryder,Diamond
Wild Barrage,Skyler Frost,Platinum
Wild Barrage,Morgan Stone,Bronze
Wild Barrage,Riley Shadow,Bronze
Wild Barrage,Alex Ryder,Diamond
Wild Barrage,Jamie Knight,Platinum
Dark Mirage,Taylor Vega,Silver
Dark Mirage,Jordan Stone,Iron
Dark Mirage,Jamie Frost,Silver
Dark Mirage,Casey Blaze,Silver
Dark Mirage,Dakota Shadow,Silver
Steel Tempest,Jamie Stone,Bronze
Steel Tempest,Skyler Reign,Iron
Steel Tempest,Jamie Knight,Silver
Steel Tempest,Jordan Stone,Iron
Steel Tempest,Dakota Blaze,Gold
Radiant Eclipse,Alex Knight,Iron
Radiant Eclipse,Morgan Vega,Iron
Radiant Eclipse,Casey Vega,Bronze
Radiant Eclipse,Riley Shadow,Iron
Radiant Eclipse,Jordan Blaze,Gold
Chaos Legion,Peyton Stone,Platinum
Chaos Legion,Peyton Shadow,Gold
Chaos Legion,Taylor Storm,Platinum
Chaos Legion,Alex Knight,Iron
Chaos Legion,Riley Reign,Gold
Lunar Vanguard,Dakota Frost,Bronze
Lunar Vanguard,Alex Knight,Diamond
Lunar Vanguard,Peyton Stone,Gold
Lunar Vanguard,Jordan Stone,Gold
Lunar Vanguard,Morgan Frost,Silver
Eclipse Falcons,Dakota Stone,Diamond
Eclipse Falcons,Taylor Frost,Gold
Eclipse Falcons,Dakota Blaze,Diamond
Eclipse Falcons,Skyler Knight,Silver
Eclipse Falcons,Jamie Wolf,Silver
Inferno Blades,Skyler Knight,Iron
Inferno Blades,Casey Frost,Diamond
Inferno Blades,Casey Shadow,Gold
Inferno Blades,Dakota Vega,Platinum
Inferno Blades,Peyton Wolf,Diamond
Cyber Ronins,Peyton Vega,Silver
Cyber Ronins,Skyler Shadow,Iron
Cyber Ronins,Dakota Knight,Gold
Cyber Ronins,Jamie Frost,Platinum
Cyber Ronins,Alex Vega,Iron
Omega Force,Alex Storm,Bronze
Omega Force,Jordan Storm,Platinum
Omega Force,Taylor Knight,Iron
Omega Force,Taylor Storm,Platinum
Omega Force,Riley Stone,Gold
Skyfall Units,Alex Ryder,Gold
Skyfall Units,Taylor Shadow,Bronze
Skyfall Units,Jordan Vega,Bronze
Skyfall Units,Skyler Vega,Diamond
Skyfall Units,Peyton Storm,Gold
Ashen Order,Casey Vega,Platinum
Ashen Order,Taylor Knight,Diamond
Ashen Order,Peyton Knight,Iron
Ashen Order,Peyton Shadow,Platinum
Ashen Order,Alex Frost,Platinum
Ghost Division,Casey Frost,Gold
Ghost Division,Skyler Ryder,Diamond
Ghost Division,Dakota Shadow,Diamond
Ghost Division,Riley Blaze,Silver
Ghost Division,Skyler Shadow,Platinum
Dawn Wardens,Alex Ryder,Platinum
Dawn Wardens,Jordan Knight,Diamond
Dawn Wardens,Taylor Vega,Bronze
Dawn Wardens,Jamie Frost,Bronze
Dawn Wardens,Alex Stone,Gold
Storm Legion,Dakota Ryder,Silver
Storm Legion,Riley Reign,Silver
Storm Legion,Alex Storm,Iron
Storm Legion,Skyler Storm,Diamond
Storm Legion,Dakota Blaze,Iron
Vortex Hunters,Casey Shadow,Iron
Vortex Hunters,Riley Vega,Bronze
Vortex Hunters,Skyler Shadow,Bronze
Vortex Hunters,Morgan Vega,Gold
Vortex Hunters,Dakota Frost,Bronze
Quantum Pulse,Jordan Blaze,Bronze
Quantum Pulse,Morgan Storm,Gold
Quantum Pulse,Jordan Wolf,Bronze
Quantum Pulse,Taylor Storm,Platinum
Quantum Pulse,Morgan Reign,Diamond
Neon Howlers,Jamie Knight,Bronze
Neon Howlers,Peyton Ryder,Gold
Neon Howlers,Peyton Frost,Gold
Neon Howlers,Alex Knight,Diamond
Neon Howlers,Skyler Blaze,Platinum
