Team,Player,Rank
Eclipse Falcons,Jamie Stone,Silver
Eclipse Falcons,Riley Blaze,Gold
Eclipse Falcons,Morgan Ryder,Bronze
Eclipse Falcons,Skyler Wolf,Bronze
Eclipse Falcons,Jamie Knight,Bronze
Inferno Blades,Taylor Shadow,Silver
Inferno Blades,Dakota Knight,Platinum
Inferno Blades,Jordan Ryder,Silver
Inferno Blades,Riley Wolf,Iron
Inferno Blades,Alex Storm,Gold
Cyber Ronins,Alex Wolf,Diamond
Cyber Ronins,Riley Reign,Bronze
Cyber Ronins,Casey Knight,Iron
Cyber Ronins,Riley Stone,Bronze
Cyber Ronins,Jordan Knight,Gold
Omega Force,Dakota Vega,Diamond
Omega Force,Alex Knight,Silver
Omega Force,Peyton Wolf,Gold
Omega Force,Taylor Reign,Silver
Omega Force,Skyler Shadow,Bronze
Skyfall Units,Peyton Storm,Silver
Skyfall Units,Alex Stone,Diamond
Skyfall Units,Skyler Storm,Gold
Skyfall Units,Riley Vega,Iron
Skyfall Units,Taylor Stone,Diamond
Ashen Order,Morgan Stone,Silver
Ashen Order,Jamie Knight,Silver
Ashen Order,Casey Ryder,Diamond
Ashen Order,Peyton Wolf,Iron
Ashen Order,Riley Knight,Iron
Ghost Division,Skyler Wolf,Platinum
Ghost Division,Alex Ryder,Iron
Ghost Division,Riley Stone,Bronze
Ghost Division,Skyler Blaze,Gold
Ghost Division,Dakota Shadow,Silver
Dawn Wardens,Morgan Knight,Platinum
Dawn Wardens,Taylor Shadow,Bronze
Dawn Wardens,Riley Vega,Gold
Dawn Wardens,Skyler Ryder,Gold
Dawn Wardens,Riley Shadow,Diamond
Storm Legion,Casey Stone,Bronze
Storm Legion,Taylor Frost,Platinum
Storm Legion,Alex Shadow,Gold
Storm Legion,Taylor Frost,Gold
Storm Legion,Dakota Ryder,Silver
Vortex Hunters,Riley Shadow,Gold
Vortex Hunters,Casey Vega,Iron
Vortex Hunters,Alex Knight,Bronze
Vortex Hunters,Taylor Reign,Silver
Vortex Hunters,Alex Wolf,Bronze
Quantum Pulse,Skyler Storm,Gold
Quantum Pulse,Jamie Vega,Silver
Quantum Pulse,Alex Reign,Bronze
Quantum Pulse,Jordan Ryder,Platinum
Quantum Pulse,Morgan Reign,Silver
Neon Howlers,Taylor Reign,Diamond
Neon Howlers,Peyton Blaze,Gold
Neon Howlers,Riley Frost,Bronze
Neon Howlers,Dakota Vega,Silver
Neon Howlers,Dakota Knight,Platinum
Blade Syndicate,Jordan Wolf,Iron
Blade Syndicate,Casey Stone,Silver
Blade Syndicate,Casey Vega,Iron
Blade Syndicate,Casey Wolf,Diamond
Blade Syndicate,Taylor Ryder,Iron
Shadow Core,Taylor Blaze,Platinum
Shadow Core,Peyton Stone,Platinum
Shadow Core,Jamie Vega,Platinum
Shadow Core,Skyler Wolf,Gold
Shadow Core,Peyton Frost,Platinum
Tactical Blaze,Dakota Wolf,Bronze
Tactical Blaze,Jordan Shadow,Silver
Tactical Blaze,Skyler Blaze,Silver
Tactical Blaze,Jordan Ryder,Bronze
Tactical Blaze,Taylor Reign,Gold
Nova Titans,Morgan Frost,Gold
Nova Titans,Jamie Frost,Iron
Nova Titans,Jordan Stone,Diamond
Nova Titans,Taylor Stone,Iron
Nova Titans,Casey Vega,Silver
Drift Runners,Taylor Wolf,Bronze
Drift Runners,Skyler Frost,Silver
Drift Runners,Casey Wolf,Diamond
Drift Runners,Alex Shadow,Iron
Drift Runners,Peyton Vega,Diamond
Myth Hunters,Riley Stone,Bronze
Myth Hunters,Peyton Stone,Iron
Myth Hunters,Jamie Blaze,Platinum
Myth Hunters,Morgan Blaze,Iron
Myth Hunters,Taylor Vega,Silver
Iron Dominion,Casey Reign,Bronze
Iron Dominion,Skyler Blaze,Diamond
Iron Dominion,Taylor Shadow,Bronze
Iron Dominion,Alex Storm,Bronze
Iron Dominion,Jamie Shadow,Platinum
Fatal Spark,Jordan Wolf,Platinum
Fatal Spark,Jordan Ryder,Gold
Fatal Spark,Riley Frost,Bronze
Fatal Spark,Morgan Wolf,Silver
Fatal Spark,Skyler Shadow,Bronze
